Customer ID,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Customer Svc Requests,Product/Service Issues Reported,Customer Satisfaction,churn_risk_score
C009,No,0,3,,Yes,22.5,No,No,,5,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45,135,0,20,30,5,3,1,0.9973712
C007,Yes,3,9,,Yes,18.9,No,Yes,DSL,40,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,58,522,0,15,70,3,2,2,0.99591476
C001,No,0,2,,Yes,15.2,No,Yes,Fiber,120,No,No,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,95,190,0,25,40,3,1,2,0.9936528
C003,No,0,6,,Yes,20.1,No,No,,10,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,55,330,0,10,60,4,2,1,0.9903244
C005,No,0,12,,Yes,12.3,No,Yes,DSL,60,No,No,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,65,780,0,5,90,2,1,3,0.48248267
C010,Yes,1,36,Offer B,Yes,4.1,Yes,Yes,Fiber,170,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer,115,4140,0,0,250,0,0,5,0.047383625
C006,No,0,48,Offer C,Yes,3.2,Yes,Yes,Fiber,200,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer,120,5760,0,0,300,0,0,5,0.04482742
C008,No,0,24,Offer A,Yes,6.7,Yes,Yes,Fiber,130,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card,105,2520,0,0,180,1,0,4,0.044216186
C004,Yes,1,30,Offer B,Yes,5.0,Yes,Yes,Fiber,150,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card,110,3300,0,0,200,0,0,5,0.030465748
C002,Yes,2,18,Offer A,Yes,8.5,Yes,Yes,DSL,80,Yes,Yes,No,No,No,Yes,Yes,No,One year,No,Bank transfer,70,1260,0,0,120,1,0,4,0.0094551
